,prune_name,rgft_name,time,ll,orig_ds_ll,d_ll_prune,edge_length,longest_branch,tbl_pruned,longest_pruned,tbl_remaining,longest_remaining
7,1,N8,Sp020,0.100,-1766.707912,-1751.80239,-14.90552200000001903391,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
7,2,N8,Sp015,0.107,-1766.708254,-1751.80239,-14.90586399999983768794,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
7,3,N8,N4,0.095,-1761.759388,-1751.80239,-9.95699799999988499621,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
7,4,N8,Sp009,0.100,-1751.813768,-1751.80239,-0.01137799999992239464,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
7,5,N8,N6,0.096,-1773.710674,-1751.80239,-21.90828399999986686453,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
7,6,N8,N7,0.096,-1773.710664,-1751.80239,-21.90827399999989211210,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
7,7,N8,N10,0.095,-1780.38819,-1751.80239,-28.58579999999983556336,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
7,8,N8,N11,0.095,-1780.388433,-1751.80239,-28.58604300000001785520,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
7,9,N8,Sp018,0.093,-1773.710126,-1751.80239,-21.90773599999988618947,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
7,10,N8,N13,0.094,-1773.710254,-1751.80239,-21.90786400000001776789,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
7,11,N8,N16,0.097,-1782.85386,-1751.80239,-31.05146999999988111085,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
7,12,N8,N17,0.099,-1782.853742,-1751.80239,-31.05135199999995165854,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
7,13,N8,N18,0.094,-1785.909455,-1751.80239,-34.10706499999992047378,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
